Question,Answer
What is an import letter of credit?,An import LC is issued by an Indian buyer's bank to assure the foreign seller of payment upon shipment. It gives the seller confidence to export goods.
What is a bank's forex dealing room?,"The forex dealing room is where a bank's treasury traders buy and sell currencies for the bank and clients, managing the bank's forex exposure in real time."
What is FATF?,FATF (Financial Action Task Force) is an intergovernmental body setting global standards for combating money laundering and terrorist financing. Countries failing FATF assessments face restrictions.
What is the FEMA compliance for sending money abroad?,"Under LRS, residents can remit up to USD 2,50,000 per year abroad. They must complete a Form A2 declaration stating the purpose of the remittance."
What is a grey list in FATF?,Being on FATF's grey list means increased monitoring due to strategic deficiencies in anti-money-laundering and counter-terrorism financing measures.
What is a correspondent banking relationship?,"When Bank A (in India) and Bank B (in the US) maintain accounts with each other to process international transactions on behalf of their customers, they have a correspondent relationship."
What is the capital market?,"The capital market is where long-term financial instruments like shares, debentures, and bonds are bought and sold. NSE and BSE are India's main capital markets."
What is the money market?,"The money market deals with short-term borrowing and lending — usually under 1 year. Instruments include Treasury Bills, Commercial Paper, and Certificates of Deposit."
What is a Treasury Bill (T-Bill)?,"T-Bills are short-term government securities (91-day, 182-day, 364-day) issued by RBI on behalf of the Government of India at a discount to face value."
What is a government security (G-Sec)?,G-Secs are debt instruments issued by the central government to borrow money. They pay regular interest and are considered the safest investment in India.
What is a corporate bond?,A corporate bond is a debt security issued by a company to raise funds. It pays fixed interest and the principal at maturity. Higher yield than G-Secs but more risk.
What is a debenture?,"A debenture is a form of long-term debt issued by companies. It pays fixed interest and is backed by the company's creditworthiness, not specific assets."
What is a commercial paper?,"Commercial paper is a short-term unsecured promissory note issued by large corporations to raise funds for working capital needs, typically for 7–365 days."
What is a certificate of deposit?,"A CD is a short-term fixed-income instrument issued by banks to raise funds, similar to an FD but in standardized denominations and tradeable in the secondary market."
What is the repo market?,The repo (repurchase agreement) market is where banks borrow short-term funds from RBI or other banks by selling securities with an agreement to buy them back at a higher price.
What is call money market?,"The call money market is where banks lend and borrow funds overnight to manage their daily cash requirements, at the call money rate."
What is the primary market?,"The primary market is where new securities — IPOs, FPOs, and new bond issues — are sold for the first time directly by the issuer to investors."
What is the secondary market?,The secondary market is where already-issued securities are traded among investors on stock exchanges. The issuing company doesn't receive money here.
What is an IPO?,An Initial Public Offering is when a company sells its shares to the public for the first time via a stock exchange to raise capital for growth.
What is an FPO?,A Follow-on Public Offer is when an already-listed company issues additional shares to raise more capital from the public.
